,algorithm,acc_train,acc_dev,precision_1,recall_1,f1-score_1,precision_2,recall_2,f1-score_2,precision_3,recall_3,f1-score_3
0,Nearest Neighbors,0.7590943975441289,0.7123671386362764,0.6156530408773679,0.48507462686567165,0.5426186291739895,0.71974038124196,0.8320827418373555,0.7718451167894654,0.722134330504818,0.5756707177252923,0.6406379585326952
1,Decision Tree,0.6749765498422444,0.6734584244656767,0.6439144736842105,0.307541241162608,0.416267942583732,0.6779784200816236,0.8197796254985467,0.7421664626682987,0.6670020120724346,0.5321027287319422,0.5919642857142857
2,Random Forest,0.569143856058668,0.5676297916426845,0.0,0.0,0.0,0.5676297916426845,1.0,0.7241885739462476,0.0,0.0,0.0
3,Neural Net,0.5732241835081436,0.573539004642953,0.5261584454409567,0.4147682639434407,0.4638699758401054,0.578621871213071,0.9360508348543229,0.7151637227559136,0.35772357723577236,0.005044714515019491,0.00994912379875636
4,AdaBoost,0.6452801227935533,0.6440658455162888,0.5713342140026421,0.3397486252945797,0.42610837438423643,0.6315340505189327,0.9008314743459744,0.7425196411656545,0.7527568195008706,0.2974088511809218,0.4263642340565418
5,Naive Bayes,0.43056621471817175,0.43022140362994515,0.4038351459645106,0.5542026708562451,0.46721854304635757,0.6703155183515775,0.14074224295274793,0.23263869489915637,0.396639432711577,0.8850034395780785,0.5477770287052479
6,QDA,0.37562036326426196,0.37515828249107863,0.27392689215834976,0.7093479968578161,0.39522923733450044,0.7379576107899807,0.02589062394375718,0.05002612330198537,0.4004432951606945,0.869983948635634,0.5484442195800658
